SOC2018_Code,SOC2018_Occupation_Title,Automation_Probability,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operations Analysis,Operations Monitoring,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing
29-2053,Psychiatric Technicians,0.04,3.12,4.0,3.0,3.88,3.62,1.12,1.12,1.0,3.25,3.0,3.0,1.38,1.5,2.75,2.0,4.0,3.0,1.62,1.88,2.0,3.12,1.5,2.0,3.75,1.0,2.0,3.62,4.12,3.88,2.75,2.62,1.88,3.0,2.0,3.25
29-2055,Surgical Technologists,0.34,3.0,3.38,3.0,3.12,3.12,3.0,2.38,1.0,3.0,3.0,3.0,2.0,3.0,2.88,2.62,3.75,2.62,3.0,2.0,3.25,2.62,1.12,2.88,3.0,2.5,2.25,3.0,3.0,3.12,2.5,2.88,1.88,3.12,2.75,2.88
29-2056,Veterinary Technologists and Technicians,0.03,3.12,3.75,3.25,3.12,3.75,2.25,2.12,1.0,2.88,3.12,3.0,1.88,2.38,2.75,2.75,3.25,2.62,2.62,2.0,2.88,2.88,1.75,2.38,3.62,2.12,2.88,3.12,3.12,3.62,2.75,2.62,1.88,3.0,2.5,3.25
29-2061,Licensed Practical and Licensed Vocational Nurses,0.06,3.38,3.88,3.25,4.0,3.75,1.0,1.12,1.0,3.12,3.62,3.12,1.62,1.88,2.88,2.88,3.88,2.88,2.62,1.75,2.62,2.88,1.25,2.0,3.75,1.0,2.62,4.12,4.0,3.88,3.0,2.88,1.75,3.62,1.75,3.25
29-2081,"Opticians, Dispensing",0.71,3.0,3.88,3.0,3.25,3.5,1.5,2.12,1.0,2.88,3.0,2.62,1.88,2.0,2.75,2.88,3.0,2.75,2.38,2.12,2.5,3.25,1.5,2.62,3.75,1.88,1.75,3.5,3.25,4.0,2.12,2.5,1.88,3.0,2.0,3.25
29-2091,Orthotists and Prosthetists,0.0,3.75,4.0,3.75,3.25,4.0,1.88,2.25,1.0,3.12,3.25,3.12,1.75,2.0,2.5,3.0,3.38,2.75,2.25,3.12,3.0,3.0,1.38,3.0,4.0,2.0,2.88,3.75,3.75,4.0,2.88,2.88,2.88,3.12,2.12,4.0
29-9091,Athletic Trainers,0.01,3.75,4.0,3.25,3.12,3.88,1.25,1.62,1.0,3.62,3.88,3.12,1.88,1.88,2.88,2.12,3.88,2.75,2.0,2.12,2.75,3.0,1.25,2.75,3.75,1.0,2.38,3.62,3.75,3.88,2.88,2.88,1.88,3.25,2.0,3.5
31-1121,Home Health Aides,0.39,3.0,3.75,3.0,3.0,3.38,1.0,1.0,1.0,3.12,3.0,3.0,2.0,2.0,2.25,2.25,3.25,2.88,1.38,1.12,2.12,3.12,1.0,2.0,3.25,1.0,1.62,3.62,3.5,3.12,2.0,2.0,1.25,3.12,1.75,3.12
31-1122,Personal Care Aides,0.74,2.88,3.38,2.88,3.12,3.25,1.0,1.0,1.0,3.0,2.88,2.75,1.38,1.75,2.25,2.0,3.25,2.38,2.0,1.12,2.38,2.38,1.12,2.0,2.88,1.0,1.75,4.0,3.88,3.0,2.12,2.25,1.25,3.0,1.88,2.88
31-1133,Psychiatric Aides,0.47,3.25,3.75,3.12,3.25,3.38,1.0,1.0,1.0,3.12,3.12,2.88,1.88,1.88,2.25,2.12,3.75,3.0,2.0,1.25,2.0,3.0,1.12,2.0,3.12,1.0,1.75,3.88,3.88,3.88,2.0,2.38,1.62,2.88,2.0,3.12
31-2011,Occupational Therapy Assistants,0.03,3.25,3.88,3.0,3.12,3.38,1.62,1.38,1.12,3.25,3.12,3.25,1.75,2.0,2.62,2.12,3.38,2.88,1.88,1.62,2.38,2.88,1.38,1.88,3.62,1.25,1.88,3.88,3.88,3.88,3.0,2.88,1.75,3.5,2.0,3.25
31-2012,Occupational Therapy Aides,0.27,3.0,3.5,3.12,3.38,3.25,1.5,1.25,1.0,3.0,3.0,3.0,1.5,1.75,2.12,2.0,3.25,2.5,1.88,1.88,2.38,2.88,1.12,2.12,3.12,1.5,1.62,3.75,3.62,3.62,2.12,2.12,1.5,3.0,1.88,3.12
31-2021,Physical Therapist Assistants,0.02,3.25,4.0,3.12,3.12,3.25,1.75,2.12,1.0,3.12,3.12,2.88,1.88,1.88,2.62,2.25,3.75,2.25,2.12,1.88,2.75,3.0,1.75,2.62,3.25,1.62,2.38,3.25,3.75,3.75,2.75,2.75,1.88,3.0,2.12,3.25
31-2022,Physical Therapist Aides,0.61,3.0,3.62,2.88,3.12,3.0,1.5,1.25,1.0,3.0,2.75,2.62,1.38,1.5,2.12,2.0,3.25,2.25,1.62,1.62,2.12,2.88,1.25,2.0,3.12,1.0,1.88,3.25,3.12,3.0,2.25,2.0,1.88,3.0,2.0,3.0
31-9011,Massage Therapists,0.54,3.0,3.62,3.0,2.38,3.0,1.0,1.0,1.0,2.25,3.12,2.75,1.38,1.62,1.75,2.0,3.0,2.0,1.0,1.62,1.38,2.0,1.0,1.75,3.0,1.0,1.75,3.25,3.25,3.62,2.12,2.25,1.75,2.88,1.38,3.0
31-9091,Dental Assistants,0.51,3.12,3.88,3.0,2.88,3.0,1.88,2.0,1.0,3.12,2.88,2.5,1.75,2.12,2.25,2.12,3.12,2.5,2.12,1.75,2.62,2.5,1.38,2.5,3.25,1.88,2.0,3.12,3.12,3.38,2.38,2.12,1.75,2.75,2.0,3.0
31-9092,Medical Assistants,0.3,3.25,3.88,3.0,3.5,3.62,1.5,1.62,1.0,3.12,3.0,3.12,2.0,2.12,2.38,2.62,3.5,2.5,2.12,1.62,2.5,2.75,1.5,2.12,3.75,1.5,2.62,3.5,4.0,3.88,2.38,2.38,1.5,3.0,1.75,3.38
31-9093,Medical Equipment Preparers,0.78,3.0,3.25,2.75,3.0,3.5,2.75,2.0,2.12,2.12,3.0,2.75,1.75,2.62,2.0,2.25,3.38,1.75,2.88,1.38,3.25,2.0,1.62,3.38,3.12,2.38,1.88,2.75,2.75,3.12,2.5,2.12,1.5,3.0,3.12,2.88
31-9094,Medical Transcriptionists,0.89,2.88,4.12,2.62,2.5,3.0,1.0,1.0,1.0,2.12,3.0,2.12,1.0,1.12,1.75,1.75,3.12,1.88,1.12,1.62,1.5,1.88,1.38,1.62,4.0,1.0,1.5,2.12,2.75,3.0,1.88,1.88,1.12,3.0,1.0,3.88
31-9095,Pharmacy Aides,0.72,2.88,3.5,2.75,3.0,3.0,1.5,1.38,1.0,2.0,3.0,2.5,1.75,2.0,1.88,2.5,2.75,1.88,1.75,1.5,1.88,2.25,1.5,2.0,3.25,1.12,1.5,3.38,3.25,3.38,2.12,1.88,1.62,2.62,1.75,2.75
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,0.86,2.88,3.5,2.88,3.0,3.25,1.62,1.62,1.0,2.88,2.88,2.12,2.0,2.25,2.12,2.75,3.12,2.12,2.0,1.88,2.12,2.12,1.25,2.12,3.12,1.62,2.62,3.12,3.0,3.0,2.0,2.12,1.75,3.0,2.0,3.12
33-1011,First-Line Supervisors of Correctional Officers,0.02,3.25,4.0,3.25,4.0,4.0,1.0,1.0,1.0,3.12,3.12,3.12,1.88,2.0,3.75,2.12,4.0,3.5,2.0,2.12,2.12,3.5,1.5,2.0,3.75,1.0,1.5,3.0,4.0,3.88,3.12,3.0,1.62,3.25,1.75,3.5
33-1012,First-Line Supervisors of Police and Detectives,0.0,3.88,4.0,3.75,3.88,4.0,1.5,1.5,1.0,3.88,3.75,3.75,2.5,2.5,4.0,2.38,4.0,3.25,2.5,2.12,2.5,3.88,1.5,2.12,4.0,1.5,1.5,3.5,4.0,4.0,3.12,3.12,1.5,3.5,2.0,3.75
33-2011,Firefighters,0.17,3.5,3.5,3.25,3.62,3.88,2.88,2.88,1.38,3.0,3.62,2.88,1.75,2.12,2.38,2.62,3.5,2.62,3.25,1.38,3.25,2.88,1.5,2.88,3.12,2.25,2.0,3.62,3.38,3.5,2.88,2.88,1.75,3.12,2.62,2.88
33-2021,Fire Inspectors and Investigators,0.48,3.12,3.62,3.12,3.0,3.5,1.12,1.12,1.0,3.25,3.12,3.0,2.12,2.12,2.62,2.5,3.25,2.88,2.12,1.88,2.62,3.25,1.62,2.75,3.38,1.25,1.88,3.25,3.38,3.5,2.75,3.0,1.88,3.0,2.38,3.5
33-2022,Forest Fire Inspectors and Prevention Specialists,0.05,3.0,3.62,3.5,3.75,4.0,2.25,2.25,1.0,3.25,3.62,3.12,1.88,2.0,3.12,2.12,3.38,2.88,2.38,1.62,2.62,3.0,1.62,2.25,3.12,1.88,1.88,2.88,3.0,3.75,2.75,2.88,1.75,3.12,2.25,3.12
33-3011,Bailiffs,0.36,2.75,3.25,2.88,2.88,3.0,1.0,1.0,1.0,2.25,3.25,2.12,1.25,1.38,2.38,1.5,3.38,2.75,1.5,1.12,2.0,2.88,1.12,1.88,2.88,1.0,1.0,2.88,4.0,3.38,1.88,1.5,1.25,3.0,1.25,2.25
33-3012,Correctional Officers and Jailers,0.6,3.25,4.0,3.25,3.5,3.75,1.62,1.5,1.0,3.0,3.25,3.0,1.5,1.62,2.5,2.0,4.0,3.25,2.12,1.38,2.75,3.38,1.5,2.25,3.62,1.62,1.38,3.0,4.0,3.88,2.75,2.62,1.62,3.0,2.12,3.0
33-3021,Detectives and Criminal Investigators,0.34,3.37,4.13,3.5,3.21,3.96,1.0,1.17,1.0,2.92,3.29,2.83,1.62,1.67,2.21,2.33,3.21,2.83,1.88,1.71,2.25,2.96,1.58,1.79,3.96,1.0,1.84,3.04,3.29,4.04,2.71,2.63,1.62,3.0,1.54,3.54
33-3031,Fish and Game Wardens,0.08,3.0,3.88,3.38,3.25,3.88,2.0,1.88,1.0,3.0,3.5,2.88,1.62,1.62,2.5,2.62,3.38,2.88,2.88,2.38,3.0,3.38,1.5,2.5,3.62,2.0,2.75,3.12,3.38,3.75,3.12,3.0,1.75,3.0,2.25,3.12
33-3041,Parking Enforcement Workers,0.84,2.88,3.12,2.75,3.0,3.12,2.25,1.75,1.0,2.88,2.88,2.25,1.38,1.38,2.38,2.12,3.25,2.75,2.62,1.25,2.38,2.75,1.5,2.12,3.0,1.75,1.0,3.0,3.12,3.25,2.12,2.12,1.38,3.0,2.25,2.88
33-3051,Police and Sheriff's Patrol Officers,0.1,3.56,3.94,3.18,3.5,3.88,1.06,1.12,1.0,2.94,3.62,2.62,1.75,1.82,2.75,2.25,3.56,3.19,2.32,1.31,2.5,3.37,1.5,1.94,3.75,1.0,1.63,3.25,3.88,3.94,2.56,2.38,1.56,3.12,1.75,3.44
33-3052,Transit and Railroad Police,0.57,3.25,4.0,3.75,3.25,3.88,1.0,1.0,1.0,3.0,3.25,2.88,2.0,2.0,2.88,2.0,3.38,3.12,2.5,1.88,2.75,3.0,1.62,2.0,3.12,1.0,1.12,3.12,3.38,4.0,3.0,2.38,1.5,3.0,1.88,3.25
33-9011,Animal Control Workers,0.21,2.88,3.75,2.88,3.0,3.5,1.0,1.0,1.0,2.62,3.0,2.75,1.62,1.75,2.0,2.0,3.0,2.75,2.0,1.5,2.0,2.88,1.12,1.75,3.0,1.0,1.12,3.0,3.0,3.62,2.0,2.0,1.12,3.0,1.25,3.0
33-9021,Private Detectives and Investigators,0.31,3.38,4.12,3.75,3.0,3.88,1.0,1.25,1.0,2.25,3.38,2.5,1.75,1.88,2.25,2.25,3.38,2.88,2.12,1.88,1.88,2.88,1.75,1.75,3.88,1.0,1.5,3.0,3.5,4.0,2.88,2.75,1.62,3.0,1.38,3.62
33-9031,Gambling Surveillance Officers and Gambling Investigators,0.95,3.12,3.25,3.0,2.88,3.75,1.0,1.0,1.0,3.0,3.38,2.5,1.62,1.62,2.62,2.12,4.12,2.38,2.0,1.5,2.38,2.5,1.38,2.25,3.25,1.25,1.25,2.62,3.12,3.62,2.5,2.38,1.62,2.88,1.75,3.12
33-9032,Security Guards,0.84,2.88,3.75,2.62,3.12,3.12,1.12,1.0,1.0,2.25,3.0,2.62,1.38,1.38,2.12,2.0,3.38,2.62,2.12,1.5,2.25,2.88,1.12,2.0,3.0,1.0,1.5,2.88,3.0,3.25,2.0,2.0,1.12,2.5,2.0,2.75
33-9091,Crossing Guards and Flaggers,0.49,2.25,2.88,2.38,2.75,2.75,1.0,1.0,1.0,1.88,2.75,1.88,1.38,1.5,1.62,1.62,2.88,2.12,1.0,1.25,1.62,2.12,1.0,1.25,2.25,1.0,1.0,2.75,3.0,3.12,1.88,1.75,1.0,2.0,1.38,2.0
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.67,2.75,3.12,3.0,3.0,3.0,1.25,1.38,1.0,2.75,3.0,3.12,1.12,1.25,2.0,1.38,3.75,2.0,1.38,1.25,2.12,2.5,1.0,1.88,2.88,1.25,1.5,3.25,3.38,3.5,1.88,2.0,1.0,2.38,1.62,2.5
35-1011,Chefs and Head Cooks,0.1,3.38,3.62,3.25,4.12,3.75,2.0,2.12,1.0,3.62,3.62,3.25,3.12,3.25,3.88,3.0,4.0,3.12,2.5,2.62,2.88,3.0,1.5,3.25,3.5,2.0,1.75,3.75,3.88,3.88,3.0,3.0,1.62,3.88,2.12,3.12
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,0.63,3.0,3.75,3.0,3.88,3.12,1.38,1.25,1.0,3.75,3.0,3.12,2.88,3.0,4.0,3.0,3.88,3.12,2.0,1.75,2.38,3.0,1.25,2.88,3.25,1.38,1.0,3.62,3.12,3.88,3.0,3.0,1.5,3.12,2.0,3.0
35-2011,"Cooks, Fast Food",0.81,2.38,3.0,2.0,2.75,2.62,1.0,1.0,1.0,2.12,2.38,2.0,1.62,1.5,2.0,2.0,2.62,2.12,1.75,1.25,2.12,2.25,1.0,1.75,2.62,1.0,1.0,3.0,2.75,2.75,2.0,2.0,1.25,2.5,1.0,2.0
35-2012,"Cooks, Institution and Cafeteria",0.83,2.88,3.0,3.0,3.0,3.0,1.25,1.5,1.0,2.75,3.12,2.75,2.25,2.62,3.0,2.88,3.12,2.5,2.88,1.88,3.12,2.62,1.0,3.12,2.88,1.0,1.0,3.12,2.88,3.12,2.5,2.38,1.62,3.0,2.0,2.75
35-2013,"Cooks, Private Household",0.3,2.88,3.0,3.0,2.88,3.25,1.0,1.75,1.0,2.12,3.0,2.75,2.5,2.88,2.62,2.25,3.0,2.12,2.38,2.12,2.38,2.75,1.25,2.25,3.0,1.12,1.38,3.12,3.0,3.0,2.25,2.25,1.62,3.0,2.0,2.88
35-2014,"Cooks, Restaurant",0.96,2.75,2.88,2.38,2.62,3.0,1.0,1.75,1.0,2.0,2.62,2.0,2.0,2.0,2.25,2.25,3.0,2.12,2.25,1.5,2.5,2.12,1.0,2.38,2.75,1.0,1.38,2.38,2.5,3.0,2.38,2.0,1.0,3.0,1.5,2.25
35-2015,"Cooks, Short Order",0.94,2.38,3.12,2.62,3.0,2.88,1.0,1.25,1.0,2.38,2.62,2.0,1.75,2.0,2.25,2.12,2.88,2.25,2.0,1.0,2.25,2.25,1.0,2.25,3.12,1.0,1.0,3.0,2.62,3.0,1.75,1.88,1.12,3.12,1.88,2.25
35-2021,Food Preparation Workers,0.87,2.0,3.0,2.0,2.88,2.75,1.0,1.12,1.0,2.0,2.38,2.0,1.5,1.5,2.0,2.0,2.5,1.88,1.75,1.0,2.0,2.0,1.0,2.12,2.62,1.0,1.0,3.0,2.62,2.88,2.0,1.88,1.0,3.0,1.88,1.88
35-3011,Bartenders,0.77,3.0,3.75,3.0,3.12,3.12,1.12,1.25,1.0,3.0,2.88,2.88,2.25,2.38,2.5,2.25,3.0,2.88,1.62,1.0,2.0,3.12,1.25,2.25,3.0,1.0,1.0,3.62,3.25,3.12,2.25,2.25,1.5,3.0,1.88,2.75
35-3031,Waiters and Waitresses,0.94,2.5,3.5,2.62,3.12,2.88,1.0,1.0,1.0,2.12,2.75,2.0,1.62,1.75,1.88,2.12,3.0,2.12,1.38,1.0,2.0,2.75,1.12,2.25,2.75,1.0,1.0,3.88,3.38,3.5,2.0,2.0,1.0,2.75,1.75,2.12
35-3041,"Food Servers, Nonrestaurant",0.86,2.0,3.0,2.12,2.88,2.88,1.12,1.12,1.0,2.12,2.75,2.0,1.88,1.88,2.25,2.0,2.75,2.12,2.0,1.5,2.12,2.12,1.12,2.12,2.88,1.0,1.0,3.0,2.88,3.0,2.0,2.0,1.75,2.88,2.0,2.0
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,0.91,2.12,3.0,2.0,3.0,2.75,1.0,1.0,1.0,2.0,2.88,2.0,2.0,2.0,2.25,1.88,2.88,2.0,1.75,1.12,2.12,2.0,1.12,2.0,2.38,1.0,1.0,3.0,2.88,2.88,2.0,2.0,1.12,2.25,2.0,2.0
35-9021,Dishwashers,0.77,1.88,2.62,1.88,2.75,2.5,2.0,1.5,1.0,2.0,2.25,2.0,1.5,1.5,1.88,1.5,2.5,1.88,2.88,1.0,2.5,1.88,1.0,2.38,2.0,1.88,1.0,2.12,2.5,2.5,1.88,1.88,1.0,2.62,2.0,1.75
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.97,2.62,3.5,1.88,2.88,2.75,1.0,1.0,1.0,2.38,2.12,2.0,1.12,1.12,2.0,1.88,2.88,2.62,1.25,1.0,1.75,2.62,1.0,2.0,2.88,1.0,1.0,3.12,3.0,3.12,2.0,1.88,1.0,2.62,1.25,2.12
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,0.94,2.88,3.12,3.12,3.25,3.12,2.12,2.0,1.0,3.12,3.0,3.12,2.38,2.75,3.38,2.12,3.25,3.0,2.0,1.88,2.25,2.88,1.0,3.0,3.0,1.88,1.0,3.12,3.12,3.25,2.38,2.62,1.38,3.25,2.12,2.88
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.57,3.12,3.88,3.12,3.75,3.75,2.25,2.25,1.38,3.25,3.25,3.12,2.25,2.88,3.88,2.88,4.0,2.88,3.0,2.12,3.0,3.12,1.62,3.12,3.12,2.12,1.62,3.12,3.25,3.75,2.88,2.88,1.88,4.0,2.25,3.0
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0.66,2.62,3.0,2.25,2.75,2.75,2.0,2.0,1.0,2.12,2.38,2.12,1.38,1.5,2.12,1.38,2.75,2.0,2.0,1.12,2.25,2.12,1.25,2.0,2.5,2.0,1.0,2.5,2.62,3.0,2.0,1.88,1.25,2.75,2.12,2.38
37-2012,Maids and Housekeeping Cleaners,0.69,2.12,2.75,2.12,3.0,2.75,1.0,1.25,1.0,2.12,2.12,2.12,1.62,1.88,2.12,1.88,2.75,2.12,1.62,1.12,2.0,2.12,1.0,2.0,2.62,1.0,1.0,3.12,2.88,2.75,2.0,2.0,1.0,3.0,1.88,2.12
37-2021,Pest Control Workers,0.66,3.12,3.75,3.25,3.12,3.75,2.25,2.12,1.0,2.88,3.12,2.75,2.12,2.12,3.0,2.62,3.62,3.12,3.0,1.88,3.0,3.12,1.0,2.62,3.0,2.25,2.0,3.25,3.38,3.62,2.88,2.62,1.62,3.5,2.5,3.62
37-3011,Landscaping and Groundskeeping Workers,0.95,2.25,2.75,2.25,2.75,2.88,2.12,2.12,1.12,2.0,2.5,2.12,1.12,1.5,2.12,1.75,2.5,1.88,3.12,1.25,2.75,2.0,1.0,2.0,2.25,2.25,1.62,2.5,2.5,2.88,1.88,1.88,1.62,2.62,2.12,1.75
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",0.97,2.88,3.25,3.0,3.0,3.12,2.88,2.25,1.0,2.38,3.0,2.25,1.75,1.88,2.5,2.25,2.88,2.38,3.0,1.25,3.0,2.38,1.0,2.38,3.0,2.25,2.0,2.5,3.0,3.12,2.12,2.12,1.38,3.12,2.25,2.5
37-3013,Tree Trimmers and Pruners,0.77,2.62,2.88,3.12,3.0,3.25,2.75,2.88,1.25,3.0,2.75,2.25,1.88,1.88,2.75,1.88,3.12,2.25,3.75,1.38,3.62,2.38,1.0,2.75,2.62,2.25,1.75,2.88,2.62,3.0,2.25,2.0,1.62,2.75,2.75,2.5
39-1022,First-Line Supervisors of Personal Service Workers,0.08,3.12,3.88,3.12,3.75,3.88,1.0,1.0,1.0,3.25,3.25,3.12,2.12,2.12,3.75,2.12,3.25,3.0,1.88,1.88,2.25,3.5,1.25,2.62,3.62,1.0,1.38,3.62,3.75,3.75,3.0,3.0,1.62,3.75,1.88,3.25
39-2011,Animal Trainers,0.1,3.25,3.12,3.0,3.0,3.38,1.0,1.12,1.0,3.75,3.12,3.5,1.75,2.0,2.62,1.88,3.12,2.5,1.75,1.75,2.0,2.88,1.12,2.12,2.88,1.0,1.75,3.0,3.0,3.5,2.88,2.88,1.75,3.0,1.75,2.88
39-2021,Animal Caretakers,0.82,2.38,3.0,2.62,3.0,2.75,1.5,1.62,1.12,2.12,3.0,2.0,1.75,1.75,2.0,2.0,3.12,2.0,1.62,1.0,1.88,1.88,1.25,2.0,3.0,1.25,1.5,3.0,2.75,2.88,2.12,2.12,1.62,2.5,1.88,2.75
39-3011,Gambling Dealers,0.96,2.25,3.38,2.25,2.88,2.75,1.12,1.0,1.0,2.62,2.5,2.0,1.5,1.25,2.12,2.75,3.0,2.38,1.25,1.0,1.62,2.62,1.0,1.62,3.0,1.0,1.0,3.12,3.12,3.38,1.5,1.62,1.12,2.5,1.38,2.25
39-3012,Gambling and Sports Book Writers and Runners,0.91,2.62,3.5,2.5,3.0,2.88,1.0,1.0,1.0,2.25,2.62,2.25,1.75,1.75,2.38,3.0,3.12,2.25,1.62,1.12,2.0,2.5,1.38,1.88,2.75,1.0,1.25,2.88,3.0,3.12,1.88,1.88,1.0,2.38,1.75,2.88
39-3021,Motion Picture Projectionists,0.97,2.12,3.0,2.88,2.88,2.88,2.75,2.12,1.25,2.0,2.88,2.0,1.0,1.5,1.88,1.5,2.88,2.0,3.0,1.88,3.12,2.12,1.38,2.75,3.0,2.88,1.0,2.5,2.88,3.0,2.12,2.12,1.12,2.88,2.88,2.12
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",0.96,2.62,3.12,2.5,3.0,2.75,1.0,1.0,1.0,1.62,2.38,1.62,1.0,1.0,2.38,1.88,2.75,2.88,1.62,1.25,2.0,2.88,1.38,2.0,2.75,1.0,1.0,3.25,3.38,3.25,2.0,2.0,1.0,2.5,1.88,2.25
39-3091,Amusement and Recreation Attendants,0.72,2.38,3.0,2.12,2.88,2.75,1.75,1.12,1.0,2.12,2.62,2.12,1.0,1.38,2.0,2.0,2.88,2.0,2.25,1.12,2.38,2.38,1.25,1.88,2.38,1.75,1.0,3.12,3.0,3.25,2.0,2.0,1.38,2.62,2.0,2.5
39-3092,Costume Attendants,0.61,2.5,3.12,2.25,3.12,2.88,1.0,1.12,1.0,2.5,2.38,1.88,1.88,2.0,2.25,1.5,3.12,2.75,2.0,2.12,1.88,2.75,1.0,2.0,2.88,1.0,1.0,2.88,3.0,3.12,2.12,2.38,1.62,2.75,1.62,2.5
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",0.43,2.12,3.5,2.0,2.75,2.5,1.0,1.12,1.0,2.0,2.25,1.38,1.0,1.25,2.0,1.38,2.75,2.5,1.5,1.25,1.62,2.25,1.0,1.25,2.62,1.0,1.0,3.5,3.12,3.62,1.0,1.38,1.0,2.38,1.0,2.25
39-4011,Embalmers,0.54,3.0,3.75,2.88,3.0,3.12,1.5,1.62,1.0,2.62,3.0,2.12,2.0,2.0,2.75,2.0,3.0,2.38,2.12,2.0,2.75,2.25,1.25,2.25,3.0,1.5,2.62,3.12,3.12,3.88,2.12,2.12,1.88,3.12,2.0,3.12
39-4021,Funeral Attendants,0.37,2.0,3.12,2.25,3.0,2.62,1.88,1.5,1.0,2.0,2.38,2.0,1.5,1.5,1.75,1.75,3.0,1.88,2.12,1.62,2.12,2.0,1.25,2.0,2.75,1.25,1.25,3.25,3.25,3.0,2.0,1.88,1.25,2.38,2.0,2.25
39-5011,Barbers,0.8,2.5,3.38,2.25,2.5,2.88,2.0,1.88,1.0,1.62,3.0,1.88,1.75,2.0,2.0,1.88,2.88,2.0,1.88,2.12,2.0,2.25,1.0,1.88,2.75,1.88,1.25,3.12,3.12,3.12,1.75,1.62,1.5,2.62,2.0,2.0
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",0.11,3.25,3.88,3.0,2.88,3.38,1.38,1.75,1.0,2.88,3.25,2.88,1.5,1.88,2.5,2.38,3.0,2.75,1.38,2.5,2.0,2.88,1.38,1.62,3.0,1.0,1.62,3.62,3.12,3.75,2.25,2.25,1.75,3.0,1.5,2.88
39-5091,"Makeup Artists, Theatrical and Performance",0.01,3.12,3.5,3.0,3.12,3.25,1.0,2.0,1.0,2.62,3.25,2.75,2.88,2.75,2.5,2.12,3.12,2.38,1.12,2.38,2.0,2.88,1.38,2.25,3.62,1.0,1.5,3.0,3.0,3.75,2.5,2.38,1.75,3.0,1.62,2.88
39-5092,Manicurists and Pedicurists,0.95,2.75,3.0,2.25,2.75,2.5,1.0,1.5,1.0,2.12,2.38,2.12,1.38,1.5,2.0,1.88,2.62,2.5,1.12,1.5,1.5,2.62,1.0,1.75,2.75,1.0,1.0,3.0,3.0,3.0,2.0,2.0,1.75,2.75,1.38,2.12
39-5093,Shampooers,0.79,2.25,3.12,2.12,2.75,2.5,1.0,1.38,1.0,2.12,2.5,2.0,1.38,1.38,2.0,1.62,2.75,2.25,1.25,1.12,2.12,2.38,1.0,1.5,2.5,1.0,1.0,3.0,2.75,3.25,1.5,1.5,1.38,2.5,1.38,2.38
39-5094,Skincare Specialists,0.29,3.0,3.5,3.0,3.0,3.12,1.0,1.88,1.0,2.88,2.88,2.75,1.5,1.75,2.0,2.0,3.25,2.62,2.0,2.0,2.12,2.75,1.25,2.12,3.12,1.0,1.38,3.62,3.12,3.75,2.38,2.25,1.38,3.0,1.5,2.88
39-6011,Baggage Porters and Bellhops,0.83,2.25,3.62,2.88,3.0,3.0,1.62,1.5,1.0,2.5,2.75,2.25,1.88,1.88,2.12,2.0,2.88,2.25,2.38,1.12,2.38,2.25,1.25,2.0,2.88,1.62,1.0,3.75,2.88,3.62,2.12,2.0,1.25,2.88,2.0,2.75
39-6012,Concierges,0.21,2.88,4.0,2.88,3.5,3.0,1.0,1.0,1.0,2.0,3.0,2.0,1.75,1.75,2.0,2.0,3.0,2.75,1.0,1.25,1.38,3.0,1.25,1.25,3.0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,1.75,3.0,1.25,2.75
39-7011,Tour Guides and Escorts,0.91,2.25,3.25,2.12,3.0,2.88,1.0,1.0,1.0,2.38,2.75,2.25,1.0,1.25,2.0,2.0,3.0,2.12,1.12,1.75,1.75,2.62,1.0,1.25,3.0,1.0,1.0,3.12,3.25,3.88,1.62,1.88,1.62,3.0,1.0,2.25
39-7012,Travel Guides,0.06,3.12,3.88,3.12,3.75,3.12,1.0,1.5,1.0,2.75,3.12,2.75,2.62,2.75,2.88,2.5,3.0,3.12,2.12,2.0,2.0,3.75,1.88,2.12,3.25,1.12,1.0,4.12,3.88,4.0,2.75,2.62,1.75,3.25,1.5,3.12
39-9011,Childcare Workers,0.08,3.0,3.5,3.19,3.31,3.37,1.0,1.0,1.0,3.12,3.31,3.12,1.5,1.62,2.32,1.87,3.69,2.88,1.44,1.5,1.88,3.25,1.0,1.94,3.0,1.0,1.37,3.56,3.56,3.44,2.25,2.63,1.82,3.19,1.63,3.0
